cod_unidad	glosa_reng	cve_debe_haber	monto_mo	factor_conv_mo_mn	nro_centro	cod_moneda	cod_movimiento	fecha_dia	nom_movimiento	nom_moneda	nom_persona	exponente_escala	monto_mn	compute_0015	compute_0016	nro_afectable	glosa_comprob	cve_tipo_comprob	nro_comprob	nro_aprobacion	nro_reng	nom_centro	fecha_hora	cod_mayor	nom_mayor	cod_tipo_cuenta	desc_tipo_cuenta	cod_persona	cod_moneda
D0011		H	26764,50	6,86000000000	1	34 	5247      	7/1/2022	ACCL-CTA.LIQUIDADORA CAMARA DE CHEQUES            	EE.UU. - DOLAR - COMPRA       	ADMINISTRADORA DE CAMARAS DE COMPENSACION Y LIQUIDACION S.A. ACCL S.A.                                                  	0	183604,47	0	0	009416	 M03T PAGO DE PMND NO CUBIERTA ACCL DE BANCO SOLIDARIO S.A. BANCOSOL S.A. A ADMINISTRADORA DE CAMARA DE COMPENSACION Y LIQUIDACION S.A. (ACCL) CON NUMERO DE SOLICITUD = 6396582 Y NUMERO CORRELATIVO = 931010720220945352551641563135                                                                      	Q	1557762	378	2	01 BANCO CENTRAL DE BOLIVIA                       	7/1/2022 09:46:34	0414      	OTROS DEPOSITOS                                   	0414J     	CUENTAS LIQUIDADORAS-CAMARAS DE COMPENSACION      	1426  	34 
D0011		H	54784,14	6,86000000000	1	34 	5247      	7/1/2022	ACCL-CTA.LIQUIDADORA CAMARA DE CHEQUES            	EE.UU. - DOLAR - COMPRA       	ADMINISTRADORA DE CAMARAS DE COMPENSACION Y LIQUIDACION S.A. ACCL S.A.                                                  	0	375819,20	0	0	009416	 M03T PAGO DE PMND NO CUBIERTA ACCL DE BANCO FASSIL S.A. A ADMINISTRADORA DE CAMARA DE COMPENSACION Y LIQUIDACION S.A. (ACCL) CON NUMERO DE SOLICITUD = 6396586 Y NUMERO CORRELATIVO = 914010720220945351803164156313                                                                                       	Q	1557763	379	2	01 BANCO CENTRAL DE BOLIVIA                       	7/1/2022 09:46:34	0414      	OTROS DEPOSITOS                                   	0414J     	CUENTAS LIQUIDADORAS-CAMARAS DE COMPENSACION      	1426  	34 
D0011		H	188,15	6,86000000000	1	34 	5247      	7/1/2022	ACCL-CTA.LIQUIDADORA CAMARA DE CHEQUES            	EE.UU. - DOLAR - COMPRA       	ADMINISTRADORA DE CAMARAS DE COMPENSACION Y LIQUIDACION S.A. ACCL S.A.                                                  	0	1290,71	0	0	009416	 M03T PAGO DE PMND NO CUBIERTA ACCL DE BANCO PYME "ECOFUTURO" S.A. A ADMINISTRADORA DE CAMARA DE COMPENSACION Y LIQUIDACION S.A. (ACCL) CON NUMERO DE SOLICITUD = 6396588 Y NUMERO CORRELATIVO = 910010720220945353667164156313                                                                             	Q	1557764	380	2	01 BANCO CENTRAL DE BOLIVIA                       	7/1/2022 09:46:34	0414      	OTROS DEPOSITOS                                   	0414J     	CUENTAS LIQUIDADORAS-CAMARAS DE COMPENSACION      	1426  	34 
D0011		H	172066,36	6,86000000000	1	34 	5247      	7/1/2022	ACCL-CTA.LIQUIDADORA CAMARA DE CHEQUES            	EE.UU. - DOLAR - COMPRA       	ADMINISTRADORA DE CAMARAS DE COMPENSACION Y LIQUIDACION S.A. ACCL S.A.                                                  	0	1180375,23	0	0	009416	 M03T PAGO DE PMND NO CUBIERTA ACCL DE BANCO GANADERO S.A. A ADMINISTRADORA DE CAMARA DE COMPENSACION Y LIQUIDACION S.A. (ACCL) CON NUMERO DE SOLICITUD = 6396584 Y NUMERO CORRELATIVO = 933010720220945353164156313537                                                                                     	Q	1557765	381	2	01 BANCO CENTRAL DE BOLIVIA                       	7/1/2022 09:46:34	0414      	OTROS DEPOSITOS                                   	0414J     	CUENTAS LIQUIDADORAS-CAMARAS DE COMPENSACION      	1426  	34 
D0011		H	1073294,55	6,86000000000	1	34 	5247      	7/1/2022	ACCL-CTA.LIQUIDADORA CAMARA DE CHEQUES            	EE.UU. - DOLAR - COMPRA       	ADMINISTRADORA DE CAMARAS DE COMPENSACION Y LIQUIDACION S.A. ACCL S.A.                                                  	0	7362800,61	0	0	009416	 M03T PAGO DE PMND NO CUBIERTA ACCL DE BANCO BISA S.A. A ADMINISTRADORA DE CAMARA DE COMPENSACION Y LIQUIDACION S.A. (ACCL) CON NUMERO DE SOLICITUD = 6396580 Y NUMERO CORRELATIVO = 928010720220945349327164156313                                                                                         	Q	1557766	382	2	01 BANCO CENTRAL DE BOLIVIA                       	7/1/2022 09:46:34	0414      	OTROS DEPOSITOS                                   	0414J     	CUENTAS LIQUIDADORAS-CAMARAS DE COMPENSACION      	1426  	34 
D0011		D	400,00	6,86000000000	1	34 	5247      	7/1/2022	ACCL-CTA.LIQUIDADORA CAMARA DE CHEQUES            	EE.UU. - DOLAR - COMPRA       	ADMINISTRADORA DE CAMARAS DE COMPENSACION Y LIQUIDACION S.A. ACCL S.A.                                                  	0	2744,00	0	0	009416	 E08 PAGO DE POSICION ACREEDORA ACCL DE ADMINISTRADORA DE CAMARA DE COMPENSACION Y LIQUIDACION S.A. (ACCL) A BANCO PYME DE LA COMUNIDAD S.A. CON NUMERO DE SOLICITUD = 6396604 Y NUMERO CORRELATIVO = 142622010730312409                                                                                    	Q	1557785	404	1	01 BANCO CENTRAL DE BOLIVIA                       	7/1/2022 09:53:34	0414      	OTROS DEPOSITOS                                   	0414J     	CUENTAS LIQUIDADORAS-CAMARAS DE COMPENSACION      	1426  	34 
D0011		D	491,30	6,86000000000	1	34 	5247      	7/1/2022	ACCL-CTA.LIQUIDADORA CAMARA DE CHEQUES            	EE.UU. - DOLAR - COMPRA       	ADMINISTRADORA DE CAMARAS DE COMPENSACION Y LIQUIDACION S.A. ACCL S.A.                                                  	0	3370,32	0	0	009416	 E08 PAGO DE POSICION ACREEDORA ACCL DE ADMINISTRADORA DE CAMARA DE COMPENSACION Y LIQUIDACION S.A. (ACCL) A COOPERATIVA DE AHORRO Y CREDITO ABIERTA "JESUS NAZARENO" R.L. CON NUMERO DE SOLICITUD = 6396600 Y NUMERO CORRELATIVO = 142622010730312405                                                      	Q	1557786	405	1	01 BANCO CENTRAL DE BOLIVIA                       	7/1/2022 09:53:34	0414      	OTROS DEPOSITOS                                   	0414J     	CUENTAS LIQUIDADORAS-CAMARAS DE COMPENSACION      	1426  	34 
D0011		D	400,00	6,86000000000	1	34 	5247      	7/1/2022	ACCL-CTA.LIQUIDADORA CAMARA DE CHEQUES            	EE.UU. - DOLAR - COMPRA       	ADMINISTRADORA DE CAMARAS DE COMPENSACION Y LIQUIDACION S.A. ACCL S.A.                                                  	0	2744,00	0	0	009416	 E08 PAGO DE POSICION ACREEDORA ACCL DE ADMINISTRADORA DE CAMARA DE COMPENSACION Y LIQUIDACION S.A. (ACCL) A CENTRO DE INVESTIGACION Y DESARROLLO REGIONAL INSTITUCION FINANCIERA DE DESARROLLO CON NUMERO DE SOLICITUD = 6396599 Y NUMERO CORRELATIVO = 142622010730312404                                 	Q	1557787	406	1	01 BANCO CENTRAL DE BOLIVIA                       	7/1/2022 09:53:34	0414      	OTROS DEPOSITOS                                   	0414J     	CUENTAS LIQUIDADORAS-CAMARAS DE COMPENSACION      	1426  	34 
D0011		D	2850,00	6,86000000000	1	34 	5247      	7/1/2022	ACCL-CTA.LIQUIDADORA CAMARA DE CHEQUES            	EE.UU. - DOLAR - COMPRA       	ADMINISTRADORA DE CAMARAS DE COMPENSACION Y LIQUIDACION S.A. ACCL S.A.                                                  	0	19551,00	0	0	009416	 E08 PAGO DE POSICION ACREEDORA ACCL DE ADMINISTRADORA DE CAMARA DE COMPENSACION Y LIQUIDACION S.A. (ACCL) A COOPERATIVA DE AHORRO Y CREDITO ABIERTA LA MERCED R.L. CON NUMERO DE SOLICITUD = 6396603 Y NUMERO CORRELATIVO = 142622010730312408                                                             	Q	1557788	407	1	01 BANCO CENTRAL DE BOLIVIA                       	7/1/2022 09:53:34	0414      	OTROS DEPOSITOS                                   	0414J     	CUENTAS LIQUIDADORAS-CAMARAS DE COMPENSACION      	1426  	34 
D0011		D	181,00	6,86000000000	1	34 	5247      	7/1/2022	ACCL-CTA.LIQUIDADORA CAMARA DE CHEQUES            	EE.UU. - DOLAR - COMPRA       	ADMINISTRADORA DE CAMARAS DE COMPENSACION Y LIQUIDACION S.A. ACCL S.A.                                                  	0	1241,66	0	0	009416	 E08 PAGO DE POSICION ACREEDORA ACCL DE ADMINISTRADORA DE CAMARA DE COMPENSACION Y LIQUIDACION S.A. (ACCL) A COOPERATIVA DE AHORRO Y CRÉDITO ABIERTA SAN MARTIN DE PORRES R.L. CON NUMERO DE SOLICITUD = 6396601 Y NUMERO CORRELATIVO = 142622010730312406                                                  	Q	1557789	408	1	01 BANCO CENTRAL DE BOLIVIA                       	7/1/2022 09:53:34	0414      	OTROS DEPOSITOS                                   	0414J     	CUENTAS LIQUIDADORAS-CAMARAS DE COMPENSACION      	1426  	34 
D0011		D	450,00	6,86000000000	1	34 	5247      	7/1/2022	ACCL-CTA.LIQUIDADORA CAMARA DE CHEQUES            	EE.UU. - DOLAR - COMPRA       	ADMINISTRADORA DE CAMARAS DE COMPENSACION Y LIQUIDACION S.A. ACCL S.A.                                                  	0	3087,00	0	0	009416	 E08 PAGO DE POSICION ACREEDORA ACCL DE ADMINISTRADORA DE CAMARA DE COMPENSACION Y LIQUIDACION S.A. (ACCL) A COOPERATIVA DE AHORRO Y CREDITO ABIERTA "FATIMA" R.L. CON NUMERO DE SOLICITUD = 6396602 Y NUMERO CORRELATIVO = 142622010730312407                                                              	Q	1557790	409	1	01 BANCO CENTRAL DE BOLIVIA                       	7/1/2022 09:53:34	0414      	OTROS DEPOSITOS                                   	0414J     	CUENTAS LIQUIDADORAS-CAMARAS DE COMPENSACION      	1426  	34 
D0011		D	108131,69	6,86000000000	1	34 	5247      	7/1/2022	ACCL-CTA.LIQUIDADORA CAMARA DE CHEQUES            	EE.UU. - DOLAR - COMPRA       	ADMINISTRADORA DE CAMARAS DE COMPENSACION Y LIQUIDACION S.A. ACCL S.A.                                                  	0	741783,39	0	0	009416	 E08 PAGO DE POSICION ACREEDORA ACCL DE ADMINISTRADORA DE CAMARA DE COMPENSACION Y LIQUIDACION S.A. (ACCL) A BANCO UNION S.A. CON NUMERO DE SOLICITUD = 6396595 Y NUMERO CORRELATIVO = 142622010730312400                                                                                                   	Q	1557791	410	1	01 BANCO CENTRAL DE BOLIVIA                       	7/1/2022 09:53:34	0414      	OTROS DEPOSITOS                                   	0414J     	CUENTAS LIQUIDADORAS-CAMARAS DE COMPENSACION      	1426  	34 
